"장소별","범죄별",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
"계","계",80445,92679,103668,101948,107835,117839,126401,130674,132966,137725
"계","살인",124,141,136,143,142,148,163,158,152,179
"계","강도",122,138,136,143,169,262,276,343,420,570
"계","강간강제추행",4911,5763,6469,6412,6963,6002,5449,5462,5387,4908
"계","절도",33531,38293,42204,39175,41162,46857,55307,59393,61585,61436
"계","폭력",41757,48344,54723,56075,59399,64570,65206,65318,65422,70632
"아파트 연립다세대","계",9848,9597,8999,7682,4523,4660,5039,5671,9273,5375
"아파트 연립다세대","살인",30,32,25,29,21,12,20,22,26,26
"아파트 연립다세대","강도",25,11,7,10,20,20,20,37,37,23
"아파트 연립다세대","강간강제추행",596,556,533,441,319,284,283,296,412,306
"아파트 연립다세대","절도",2632,2867,2455,1907,1209,1504,1866,2765,5001,2862
"아파트 연립다세대","폭력",6565,6131,5979,5295,2954,2840,2850,2551,3797,2158
"단독주택","계",7924,8200,8757,8150,5092,6266,6408,7325,11596,6874
"단독주택","살인",26,35,36,40,25,30,39,36,41,26
"단독주택","강도",10,12,12,16,11,15,23,36,39,51
"단독주택","강간강제추행",625,588,552,538,413,395,346,404,503,387
"단독주택","절도",1705,2045,2163,2020,1340,2246,2498,3655,5922,3604
"단독주택","폭력",5558,5520,5994,5536,3303,3580,3502,3194,5091,2806
"노상","계",25921,29395,32295,32372,32063,35003,37548,39067,46873,28387
"노상","살인",30,23,26,24,27,22,37,33,29,32
"노상","강도",31,28,36,42,43,86,70,92,141,151
"노상","강간강제추행",689,853,946,978,1061,986,924,1007,1150,743
"노상","절도",10117,10235,10198,9087,8255,9356,11407,11931,14183,9011
"노상","폭력",15054,18256,21089,22241,22677,24553,25110,26004,31370,18450
"상점","계",9455,9626,10092,8635,5047,5385,4816,5068,8791,5000
"상점","살인",1,1,1,3,1,1,1,-,4,1
"상점","강도",25,25,22,27,22,34,34,45,69,65
"상점","강간강제추행",161,202,178,170,116,95,73,102,104,44
"상점","절도",8054,8013,8464,6990,4119,4403,3903,3988,6909,4002
"상점","폭력",1214,1385,1427,1445,789,852,805,933,1705,888
"숙박업소목욕탕","계",982,1756,2397,2410,1437,1533,1638,2320,5393,3990
"숙박업소목욕탕","살인",4,4,7,3,5,4,3,8,4,2
"숙박업소목욕탕","강도",4,8,7,10,8,9,15,10,16,13
"숙박업소목욕탕","강간강제추행",302,441,528,553,408,389,395,471,775,511
"숙박업소목욕탕","절도",254,813,1297,1249,670,828,952,1506,3779,2953
"숙박업소목욕탕","폭력",418,490,558,595,346,303,273,325,819,511
"유흥접객업소","계",3633,7199,9725,9356,5077,5098,5004,5993,12658,7353
"유흥접객업소","살인",4,7,9,8,10,8,5,6,12,9
"유흥접객업소","강도",2,16,19,4,5,13,14,17,37,31
"유흥접객업소","강간강제추행",377,782,968,851,495,398,342,364,498,279
"유흥접객업소","절도",1204,2490,3481,3231,1809,2034,2204,2452,5093,2911
"유흥접객업소","폭력",2046,3904,5248,5262,2758,2645,2439,3154,7018,4123
"사무실","계",1817,2030,2203,2354,1772,2052,2458,2940,3656,2668
"사무실","살인",3,7,4,6,5,1,3,9,6,9
"사무실","강도",5,5,4,6,5,8,8,11,17,8
"사무실","강간강제추행",177,155,128,114,130,132,91,127,116,77
"사무실","절도",472,583,626,721,564,682,994,1216,1536,1039
"사무실","폭력",1160,1280,1441,1507,1068,1229,1362,1577,1981,1535
"역대합실","계",1047,1230,1524,1455,908,808,843,874,1600,939
"역대합실","살인",1,-,-,1,-,-,-,-,1,1
"역대합실","강도",1,1,1,1,1,-,-,2,2,4
"역대합실","강간강제추행",188,174,255,280,242,181,181,144,211,101
"역대합실","절도",362,496,593,531,335,355,407,401,665,382
"역대합실","폭력",495,559,675,642,330,272,255,327,721,451
"교통수단","계",2412,2791,3358,3110,2359,2197,2173,2079,2826,1796
"교통수단","살인",0,2,-,1,1,-,-,1,-,-
"교통수단","강도",2,2,3,1,-,1,3,1,3,3
"교통수단","강간강제추행",658,632,966,968,1105,841,812,694,685,460
"교통수단","절도",759,1054,1156,1001,744,889,1026,936,1261,877
"교통수단","폭력",993,1101,1233,1139,509,466,332,447,877,456
"유원지","계",869,941,1248,1152,754,854,951,1057,1481,968
"유원지","살인",1,-,2,1,1,2,4,1,3,3
"유원지","강도",2,1,2,-,1,2,1,5,3,4
"유원지","강간강제추행",56,66,54,57,51,59,51,48,65,43
"유원지","절도",417,492,649,613,282,367,424,472,774,459
"유원지","폭력",393,382,541,481,419,424,471,531,636,459
"학교","계",325,319,685,634,518,636,640,679,1357,1308
"학교","살인",0,-,-,-,-,-,1,-,-,1
"학교","강도",0,1,-,-,-,-,-,-,2,1
"학교","강간강제추행",37,29,49,60,49,33,46,26,38,18
"학교","절도",141,160,363,296,247,400,397,425,1018,894
"학교","폭력",147,129,273,278,222,203,196,228,299,394
"금융기관","계",694,949,1199,1375,1024,1127,1322,1530,1992,1314
"금융기관","살인",0,-,-,-,-,1,-,-,-,-
"금융기관","강도",1,1,1,2,3,1,3,-,-,4
"금융기관","강간강제추행",2,3,3,6,1,2,1,1,2,1
"금융기관","절도",635,873,1104,1302,990,1081,1273,1482,1891,1257
"금융기관","폭력",56,72,91,65,30,42,45,47,99,52
"기타","계",15518,18646,21186,23263,47261,52220,57561,56071,25470,71753
"기타","살인",24,30,26,27,46,67,50,42,26,69
"기타","강도",14,27,22,24,50,73,85,87,54,212
"기타","강간강제추행",1043,1282,1309,1396,2573,2207,1904,1778,828,1938
"기타","절도",6779,8172,9655,10227,20598,22712,27956,28164,13553,31185
"기타","폭력",7658,9135,10174,11589,23994,27161,27566,26000,11009,38349
   