범죄분류,단독범,학교동창,교도소_소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,미상
절도,20256,755,14,234,505,0,1229,73,439,913,851
장물,379,17,0,7,7,0,11,0,8,27,25
사기,26862,125,6,624,672,0,401,61,364,4697,14684
횡령,5201,65,0,131,119,0,83,11,56,308,1888
배임,551,0,0,44,19,0,1,0,3,119,818
손괴,4257,10,0,13,40,1,32,2,34,118,290
살인,105,2,0,0,3,0,3,0,6,4,18
강도,31,7,0,5,11,0,29,3,17,27,15
방화,202,2,0,0,1,0,2,0,3,2,6
성폭력,643,13,0,6,4,0,35,2,13,37,76
폭행,30002,638,1,204,849,0,1198,97,335,1256,4934
상해,8414,397,0,167,652,0,806,56,202,849,735
협박,1504,37,0,5,34,0,22,3,20,48,252
공갈,282,45,0,17,36,0,58,8,24,73,177
약취와유인,36,0,0,4,18,0,1,3,1,8,15
체포와감금,147,21,0,15,50,0,42,2,8,46,188
"폭력행위등(손괴,강요,주거침입등)",58,21,0,29,87,0,69,7,19,157,124
"폭력행위등(단체등의구성,활동)",3,0,0,3,1,0,7,0,0,3,3
통화,12,0,0,1,2,1,0,0,1,1,5
유가증권·인지·우표,15,0,0,2,0,0,0,0,2,10,29
문서,2251,109,3,104,83,0,106,4,15,332,1507
인장,44,0,0,2,2,0,1,0,0,11,17
직무유기,50,0,0,3,0,0,0,0,0,7,89
직권남용,16,0,0,8,0,0,0,0,0,5,78
수뢰,17,0,0,17,2,0,0,0,2,25,33
증뢰,13,0,0,1,0,0,0,0,0,5,18
도박과복표,593,4,0,12,6,0,848,67,10,2065,377
신앙,28,0,0,1,3,0,0,0,1,6,53
기타음란행위,37,0,0,4,0,0,0,0,7,4,4
과실치사상,733,4,0,0,1,0,0,0,0,16,46
업무상과실치사상,420,0,0,105,4,0,0,0,1,37,178
실화,394,2,0,0,0,0,4,0,0,3,2
명예,5640,48,0,71,110,0,58,5,15,304,2229
권리행사방해,1788,5,0,13,85,0,6,0,6,65,901
신용업무경매,2852,14,0,79,132,0,79,12,35,421,907
주거침입,1766,11,0,33,70,0,31,5,16,119,309
비밀침해,19,0,0,0,1,0,0,0,0,0,5
유기,130,0,0,8,2,0,0,0,4,9,20
교통방해,154,0,0,1,6,0,13,0,1,23,37
공무방해,1419,2,1,26,49,0,13,11,22,246,162
도주와범인은닉,118,1,0,5,5,0,6,2,10,18,68
위증과증거인멸,440,1,0,2,2,0,7,0,0,34,640
무고,1081,1,0,8,8,0,2,1,3,55,1291
공안을해하는죄,0,0,0,0,0,0,2,0,1,28,9
내란의죄,1,0,0,0,0,0,0,0,0,0,2
기타,21,0,0,0,1,0,0,0,2,4,8
가정폭력범죄의처벌등에관한특례법,8,0,0,0,0,0,0,0,0,0,0
가축분뇨의관리및이용에관한법률,59,0,0,0,0,0,0,0,0,3,22
감염병의예방및관리에관한법률,89,0,0,14,0,0,4,0,0,33,7
개발제한구역의지정및관리에관한특별조치법,229,0,0,0,9,0,0,0,0,59,116
개인정보보호법,266,0,0,20,6,0,2,0,2,68,151
건강기능식품에관한법률,121,0,0,45,3,0,0,0,1,128,117
건설기계관리법,18,0,0,1,0,0,0,0,0,1,2
건설산업기본법,516,0,0,4,11,0,0,0,0,167,91
건축법,1289,0,0,2,67,0,8,8,0,117,197
게임산업진흥에관한법률,1057,0,0,80,22,0,14,4,20,354,197
결혼중개업의관리에관한법률,27,0,0,5,3,0,0,0,0,5,11
경범죄처벌법,614,0,0,4,10,0,6,0,3,9,51
고용보험법,1116,7,0,182,66,1,9,0,3,456,50
공유수면관리및매립에관한법률,46,0,0,0,0,0,0,0,0,1,4
공유재산및물품관리법,32,0,0,0,0,0,0,0,0,5,5
공인중개사법,281,0,0,56,23,0,2,0,0,67,167
공중위생관리법,673,0,0,12,6,0,0,0,0,27,278
공직선거법,111,1,0,7,0,0,2,0,0,18,69
관세법,19,0,0,0,1,0,0,0,1,10,212
교통사고처리특례법,40780,1,0,3,5,0,7,0,9,56,1040
국가기술자격법,28,0,0,3,0,0,0,0,0,15,12
국가보안법,4,0,0,0,0,0,0,0,0,8,2
국민체육진흥법,12,0,0,1,1,0,3,0,2,19,9
국토의계획및이용에관한법률,264,0,0,1,8,0,4,2,0,23,82
근로기준법,1603,2,0,3,4,0,0,0,1,90,2724
근로자퇴직급여보장법,572,1,0,4,2,0,0,0,0,21,825
낚시관리및육성법,23,0,0,0,0,0,0,0,0,0,1
노동조합및노동관계조정법,11,0,0,2,0,0,0,0,0,10,22
농수산물유통및가격안정에관한법률,4,0,0,1,2,0,0,0,0,1,1
농수산물의원산지표시에관한법률,662,0,0,8,3,0,0,0,1,41,744
농지법,185,0,0,0,9,0,0,0,0,34,62
대기환경보전법,98,0,0,1,1,0,0,0,0,11,69
대부업등의등록및금융이용자보호에관한법률,213,0,0,23,9,0,0,0,2,132,65
도로교통법,1484,0,0,0,5,0,8,0,4,10,41
도로교통법(무면허운전),3761,6,0,3,1,0,8,0,8,12,34
도로교통법(사고후미조치),4459,4,0,2,2,0,1,0,2,6,149
도로교통법(음주운전),19296,10,0,18,9,0,10,0,24,47,36
도로교통법(음주측정거부),253,0,0,2,0,0,0,0,0,5,0
도로법,138,0,0,1,3,0,0,0,0,9,26
도시및주거환경정비법,50,0,0,20,0,1,0,0,0,104,54
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,1
디자인보호법,25,0,0,1,0,0,0,0,0,7,39
마약류관리에관한법률(대마),84,0,0,6,1,0,16,0,22,24,28
마약류관리에관한법률(마약),709,2,0,2,0,0,0,0,1,5,20
마약류관리에관한법률(향정),673,11,6,21,11,0,42,17,131,234,272
물환경보전법,53,0,0,2,0,0,0,0,0,1,23
범죄수익은닉의규제및처벌등에관한법률,5,0,0,1,5,0,0,0,0,3,46
변호사법,17,0,0,1,0,0,0,0,1,20,73
병역법,151,0,0,0,0,0,0,0,0,2,8
보조금관리에관한법률,105,0,0,38,2,0,10,0,1,146,70
부동산실권리자명의등기에관한법률,70,0,0,14,67,0,4,0,3,71,180
부정경쟁방지및영업비밀보호에관한법률,49,0,0,9,0,0,0,0,0,9,58
부정수표단속법,111,0,0,0,0,0,0,0,0,4,71
사행행위등규제및처벌특례법,30,0,0,2,1,0,3,0,1,11,5
산림자원의조성및관리에관한법률,47,0,0,0,1,0,3,0,1,5,39
산업안전보건법,35,0,0,1,0,0,0,0,0,9,101
산지관리법,189,0,0,1,1,0,0,0,0,10,125
상표법,1355,0,0,20,15,0,1,0,6,103,309
석유및석유대체연료사업법,115,0,0,6,2,0,0,0,0,12,17
선박안전법,8,0,0,2,0,0,0,0,0,2,1
선박직원법,4,0,0,0,0,0,1,0,0,0,0
성매매알선등행위의처벌에관한법률,3410,11,0,354,52,0,84,23,52,3734,619
수도법,15,0,0,0,0,0,2,0,0,1,13
수산업법,21,0,0,2,1,0,1,0,0,8,14
수산자원관리법,95,0,0,3,1,0,0,0,0,26,68
식품위생법,3702,2,0,277,39,1,56,7,3,1004,1346
신용정보의이용및보호에관한법률,8,0,0,2,0,0,0,0,0,10,2
"아동,청소년의성보호에관한법률(성매수등)",50,8,0,1,1,0,34,3,13,55,5
"아동,청소년의성보호에관한법률(음란물등)",2,8,0,0,0,0,0,0,0,2,0
아동복지법,1854,0,0,75,119,0,4,0,19,88,129
액화석유가스의안전관리및사업법,7,0,0,2,0,0,0,0,0,5,1
약사법,334,0,0,53,16,0,0,0,0,72,144
여객자동차운수사업법,116,0,0,12,1,0,2,0,0,25,45
여신전문금융업법,293,9,0,8,28,0,11,3,8,75,84
영유아보육법,128,1,0,88,21,0,1,1,0,63,59
예비군법,8,0,0,0,1,0,0,0,0,1,1
옥외광고물등의관리와옥외광고산업진흥에관한법률,56,0,0,3,1,0,0,0,0,6,12
외국환거래법,53,0,0,0,9,0,2,1,3,16,156
위험물안전관리법,29,0,0,0,0,0,0,0,0,5,40
유사수신행위의규제에관한법률,138,0,0,106,9,0,2,1,3,206,239
의료기기법,80,0,0,7,3,0,0,0,1,14,33
의료법,1334,0,0,291,32,1,8,28,4,597,241
자동차관리법,1876,0,0,15,8,0,3,0,1,64,692
자동차손해배상보장법,2556,0,0,0,2,0,0,0,0,95,2434
자본시장과금융투자업에관한법률,13,0,0,1,0,0,0,0,1,22,37
저작권법,1274,0,0,7,8,0,0,0,1,46,835
전자금융거래법,3864,1,0,4,12,0,13,6,12,1505,678
전파법,27,0,0,0,0,0,0,0,0,9,11
정보통신망이용촉진및정보보호등에관한법률,2784,32,0,38,13,0,30,1,9,123,754
조세범처벌법,201,0,0,7,29,0,1,0,3,45,315
주민등록법,679,51,0,2,11,0,62,9,1,31,57
주차장법,106,0,0,0,3,0,0,0,0,20,32
주택법,419,0,0,6,4,0,0,2,0,217,207
직업안정법,87,0,0,1,1,0,0,1,1,32,19
집회및시위에관한법률,18,0,0,2,0,0,0,0,0,31,15
청소년보호법,5207,39,1,118,40,0,54,4,4,333,334
"총포,도검,화약류등의안전관리에관한법률",3,0,0,0,0,0,0,0,0,0,0
최저임금법,32,0,0,0,0,0,0,0,0,1,67
축산물위생관리법,213,0,0,5,4,0,0,4,0,34,66
출입국관리법,435,0,0,58,3,0,3,12,2,166,103
통신비밀보호법,42,0,0,4,0,0,2,0,0,2,15
특가법(도주차량),794,3,0,3,1,0,1,0,1,2,15
특허법,24,0,0,0,0,0,0,0,0,0,22
폐기물관리법,85,0,0,1,2,0,0,0,0,18,45
풍속영업의규제에관한법률,43,1,0,7,1,0,0,0,0,16,9
하천법,42,0,0,0,0,0,0,0,0,3,7
학교보건법,27,0,0,0,0,0,0,0,0,1,2
학원의설립운영및과외교습에관한법률,347,2,0,9,1,0,0,0,1,6,7
화물자동차운수사업법,82,0,0,6,0,0,0,0,1,10,8
"화재예방,소방시설설치유지및안전관리에관한법률",7,0,0,0,0,0,0,0,0,0,6
화학물질관리법,43,20,0,2,0,0,46,1,2,4,26
기타특별법,10584,7,0,484,130,1,184,30,39,3224,1634
