"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,전문직,전문직,전문직,전문직,전문직,전문직,전문직,전문직,공무원,기타,기타,기타,기타,기타,기타,무직자,미상,계,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,전문직,전문직,전문직,전문직,전문직,전문직,전문직,전문직,공무원,기타,기타,기타,기타,기타,기타,무직자,미상,계,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,전문직,전문직,전문직,전문직,전문직,전문직,전문직,전문직,공무원,기타,기타,기타,기타,기타,기타,무직자,미상,계,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,전문직,전문직,전문직,전문직,전문직,전문직,전문직,전문직,공무원,기타,기타,기타,기타,기타,기타,무직자,미상,계,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,자영업,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,피고용자,전문직,전문직,전문직,전문직,전문직,전문직,전문직,전문직,공무원,기타,기타,기타,기타,기타,기타,무직자,미상
"죄종별(1)",죄종별(2),소계,소계,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,소계,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,소계,의사,변호사,교수,종교가,언론인,예술인,기타전문직,소계,소계,학생,주부,전경.의경,공익요원,기타,소계,소계,소계,소계,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,소계,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,소계,의사,변호사,교수,종교가,언론인,예술인,기타전문직,소계,소계,학생,주부,전경.의경,공익요원,기타,소계,소계,소계,소계,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,소계,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,소계,의사,변호사,교수,종교가,언론인,예술인,기타전문직,소계,소계,학생,주부,전경.의경,공익요원,기타,소계,소계,소계,소계,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,소계,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,소계,의사,변호사,교수,종교가,언론인,예술인,기타전문직,소계,소계,학생,주부,전경.의경,공익요원,기타,소계,소계,소계,소계,농.임.수산업,광업,제조업,건설업,도.소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,소계,교원(사립),사무원,기술자,점원,공원,운전사,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,소계,의사,변호사,교수,종교가,언론인,예술인,기타전문직,소계,소계,학생,주부,전경.의경,공익요원,기타,소계,소계
"계",소계,327588,60987,3404,4,508,774,1339,120,5106,689,5245,133,2281,432,14,790,32,40116,76287,554,1097,448,1163,297,1139,25,1404,35,34267,269,2912,4301,2089,26287,21377,679,44,215,1241,128,1059,18011,2191,74132,15472,40628,-,-,18032,76924,15690,323924,61474,3367,2,490,688,1123,115,4765,750,4718,164,2847,452,29,746,28,41190,74866,659,1147,494,1051,295,1117,35,1303,32,35125,258,2525,4088,1719,25018,22937,697,74,207,1291,161,1137,19370,2710,57772,14588,37137,-,-,6047,76284,27881,340589,57639,3511,4,435,713,757,106,4064,721,4000,126,2364,299,14,638,13,39874,70834,581,1101,476,727,258,1108,24,1225,27,35261,298,2456,3601,1446,22245,22367,630,76,261,1281,150,1031,18938,2679,74878,14400,36754,-,-,23724,77807,34385,319658,45743,2987,4,318,578,385,95,3035,648,2471,120,2072,98,12,429,3,32488,55112,447,971,448,450,239,826,18,891,25,29381,245,1554,2622,939,16056,18188,645,76,167,1095,145,733,15327,2669,83504,13464,29856,-,-,40184,74766,39676,273150,44067,2617,3,364,481,710,72,2684,707,2567,104,2209,223,16,481,8,30821,53845,650,1000,420,572,271,649,34,718,42,27241,247,2550,2025,1194,16232,18481,484,66,180,967,171,832,15781,2555,49975,12307,24654,1,-,13013,67095,37132
"강력범죄",소계,1078,114,8,-,3,1,1,-,15,2,14,-,2,-,-,-,-,68,192,5,7,2,6,-,2,-,7,-,63,-,14,10,4,72,60,-,-,-,8,-,7,45,3,251,111,96,-,-,44,422,36,1188,135,4,-,1,1,3,-,5,6,11,-,2,3,-,3,-,96,249,9,1,3,5,1,-,-,1,-,95,-,8,16,6,104,64,1,-,-,1,1,3,58,11,235,139,91,-,-,5,433,61,1317,144,8,-,-,2,1,-,14,10,16,-,4,-,-,4,-,85,203,8,6,2,4,-,1,-,3,-,81,1,16,18,1,62,78,1,-,1,6,-,4,66,4,313,154,73,-,-,86,462,113,1343,144,5,-,-,1,1,-,9,11,11,-,5,-,-,-,-,101,219,2,1,3,2,1,4,-,9,1,105,-,11,10,4,66,72,1,-,-,11,-,6,54,14,353,149,70,-,-,134,422,119,1085,101,5,-,1,1,1,-,9,2,6,-,2,3,-,1,-,70,192,2,3,1,7,2,1,2,4,-,83,3,4,11,5,64,87,1,-,2,7,-,7,70,11,217,124,48,-,-,45,348,129
"강력범죄",살인기수,72,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,10,-,-,-,-,-,-,-,-,-,5,-,-,-,-,5,2,-,-,-,-,-,-,2,-,20,5,14,-,-,1,33,1,67,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,9,1,-,1,-,-,-,-,-,-,1,-,-,-,-,6,3,-,-,-,-,-,-,3,1,7,2,5,-,-,-,44,1,80,4,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,13,1,-,-,-,-,-,-,-,-,5,-,1,2,1,3,11,-,-,-,2,-,-,9,-,13,5,5,-,-,3,37,2,85,8,-,-,-,-,-,-,1,-,-,-,2,-,-,-,-,5,9,1,-,-,-,-,-,-,-,-,4,-,-,1,-,3,1,1,-,-,-,-,-,-,4,14,2,10,-,-,2,43,6,80,6,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,5,9,-,-,-,-,-,-,-,-,-,2,-,-,4,1,2,14,1,-,-,1,-,-,12,2,8,3,4,-,-,1,36,5
"강력범죄",살인미수등,63,3,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,8,-,-,-,1,-,-,-,1,-,2,-,-,1,-,3,2,-,-,-,-,-,-,2,-,10,1,8,-,-,1,40,-,81,5,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,2,19,-,-,-,1,-,-,-,1,-,7,-,-,2,3,5,3,-,-,-,-,-,-,3,-,14,4,10,-,-,-,36,4,69,7,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,4,12,1,-,-,1,-,-,-,-,-,3,-,-,4,-,3,1,-,-,-,-,-,-,1,-,13,2,8,-,-,3,33,3,78,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,-,-,-,-,-,-,-,-,-,1,-,-,1,1,3,2,-,-,-,-,-,-,2,-,22,5,9,-,-,8,33,13,63,4,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,3,8,-,-,-,-,-,-,-,-,-,6,-,-,-,-,2,3,-,-,-,-,-,-,3,-,7,2,4,-,-,1,32,9
"강력범죄",강도,142,10,-,-,-,-,1,-,1,-,2,-,-,-,-,-,-,6,24,-,-,-,1,-,-,-,-,-,5,-,1,2,1,14,3,-,-,-,-,-,-,3,1,35,19,10,-,-,6,67,2,132,10,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,9,13,-,1,-,1,-,-,-,-,-,6,-,-,-,-,5,2,-,-,-,-,-,-,2,-,33,24,9,-,-,-,71,3,164,16,-,-,-,-,-,-,-,4,2,-,-,-,-,-,-,10,5,-,-,-,-,-,-,-,-,-,1,-,1,-,-,3,5,-,-,-,-,-,-,5,1,62,54,2,-,-,6,66,9,176,11,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,9,18,-,-,-,-,-,-,-,-,-,9,-,-,-,1,8,3,-,-,-,1,-,-,2,1,84,61,6,-,-,17,55,4,99,5,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,4,13,-,-,-,-,-,-,-,-,-,3,-,-,2,1,7,2,-,-,-,-,-,-,2,-,38,35,1,-,-,2,37,4
"강력범죄",강간,72,4,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,17,-,-,-,1,-,-,-,1,-,6,-,-,-,1,8,4,-,-,-,1,-,1,2,1,21,13,6,-,-,2,20,5,89,12,-,-,-,-,1,-,1,2,-,-,-,-,-,-,-,8,18,-,-,-,-,-,-,-,-,-,5,-,1,1,-,11,3,-,-,-,-,-,-,3,1,28,24,3,-,-,1,25,2,96,17,4,-,-,-,-,-,2,4,1,-,-,-,-,-,-,6,8,-,-,-,1,-,-,-,-,-,4,-,-,2,-,1,4,-,-,-,1,-,-,3,-,14,7,5,-,-,2,27,26,103,19,1,-,-,-,-,-,-,8,1,-,-,-,-,-,-,9,11,-,-,-,-,-,-,-,-,-,5,-,2,-,-,4,7,-,-,-,2,-,1,4,2,28,14,4,-,-,10,27,9,78,9,1,-,-,-,-,-,1,1,-,-,1,-,-,-,-,5,15,-,-,-,-,-,-,-,1,-,4,-,1,-,1,8,10,-,-,1,-,-,3,6,-,18,13,2,-,-,3,17,9
"강력범죄",유사강간,14,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,5,-,-,-,1,-,-,-,-,-,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,6,2,3,-,-,1,1,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,1,-,-,-,-,-,2,-,4,4,-,-,-,-,11,2,25,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,11,6,-,-,-,5,8,3,43,3,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,10,-,-,-,-,1,-,-,3,-,2,-,1,-,-,3,1,-,-,-,-,-,-,1,-,16,9,1,-,-,6,11,2,22,3,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,5,-,-,-,-,-,-,-,-,-,1,-,-,1,-,3,4,-,-,-,-,-,-,4,-,6,6,-,-,-,-,2,2
"강력범죄",강제추행,487,65,2,-,2,1,-,-,11,-,10,-,2,-,-,-,-,37,108,4,7,2,2,-,1,-,5,-,34,-,12,3,2,36,42,-,-,-,5,-,5,32,1,125,62,34,-,-,29,135,11,563,78,3,-,1,1,2,-,2,2,11,-,2,1,-,2,-,51,156,8,-,2,2,-,-,-,-,-,63,-,6,10,1,64,46,-,-,-,1,1,3,41,7,110,70,36,-,-,4,124,42,658,77,1,-,-,1,1,-,7,1,11,-,2,-,-,1,-,52,140,6,6,1,2,-,-,-,3,-,58,1,13,6,-,44,53,1,-,1,2,-,4,45,3,155,65,33,-,-,57,175,55,655,81,3,-,-,-,1,-,5,1,8,-,3,-,-,-,-,60,142,1,1,3,2,-,3,-,6,1,76,-,8,5,1,35,55,-,-,-,7,-,5,43,6,149,49,25,-,-,75,151,71,570,63,1,-,-,1,1,-,5,1,3,-,1,3,-,-,-,47,131,2,2,1,7,-,1,2,2,-,64,3,3,3,2,39,48,-,-,1,4,-,4,39,9,112,52,23,-,-,37,129,78
"강력범죄",기타 강간·강제추행 등,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,2,1,1,-,-,-,3,2,9,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,2,2,-,-,-,-,3,-,13,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,3,-,14,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,6,3,2,-,-,1,3,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,4,2,2,-,-,-,-,-
"강력범죄",방화,219,24,5,-,1,-,-,-,2,-,1,-,-,-,-,-,-,15,19,-,-,-,-,-,1,-,-,-,10,-,-,3,-,5,6,-,-,-,2,-,-,4,-,32,8,20,-,-,4,123,15,226,26,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,23,32,-,-,-,-,1,-,-,-,-,12,-,1,3,2,13,3,-,-,-,-,-,-,3,2,37,9,28,-,-,-,119,7,212,21,2,-,-,-,-,-,3,1,-,-,2,-,-,2,-,11,20,-,-,1,-,-,1,-,-,-,7,-,1,2,-,8,3,-,-,-,1,-,-,2,-,40,10,20,-,-,10,113,15,189,19,1,-,-,-,-,-,3,-,1,-,-,-,-,-,-,14,21,-,-,-,-,-,1,-,-,-,7,-,-,3,1,9,3,-,-,-,1,-,-,2,1,34,6,13,-,-,15,99,12,168,11,3,-,-,-,-,-,2,-,-,-,-,-,-,1,-,5,11,-,1,-,-,2,-,-,1,-,3,-,-,1,-,3,5,-,-,-,2,-,-,3,-,24,11,12,-,-,1,95,22
"절도범죄",소계,25201,1790,170,-,10,13,39,5,149,13,79,6,62,20,2,42,9,1171,4754,19,53,23,81,46,27,1,84,3,1711,13,83,409,264,1937,957,7,-,2,46,2,57,843,44,6514,2749,2976,-,-,789,9827,1315,24100,1826,154,-,21,17,46,5,135,19,72,7,62,30,1,37,5,1215,4604,23,47,28,92,31,18,2,73,-,1739,6,90,413,243,1799,944,7,1,6,60,1,54,815,49,5279,2486,2542,-,-,251,10116,1282,26316,1715,170,-,11,15,20,4,132,32,53,5,54,23,-,30,3,1163,4208,19,36,23,68,31,19,1,70,-,1673,14,70,326,212,1646,899,6,1,9,56,4,60,763,47,6326,2538,2567,-,-,1221,11126,1995,25760,1529,184,-,15,11,10,1,96,14,38,3,60,2,-,22,1,1072,3437,8,55,31,35,22,17,2,59,2,1447,11,50,242,104,1352,715,13,-,5,33,-,38,626,46,6544,2069,2249,-,-,2226,11216,2273,24489,1469,164,-,18,7,19,2,113,29,30,1,49,16,-,29,4,988,3180,10,40,25,31,24,14,2,37,2,1300,7,22,224,171,1271,885,5,-,2,40,1,47,790,49,4628,1680,2125,-,-,823,11244,3034
"폭력범죄",소계,60162,9301,601,-,54,72,129,19,874,99,704,12,337,50,-,214,5,6131,12556,63,194,98,209,75,107,10,245,1,5783,35,489,786,345,4116,3394,39,7,17,260,10,241,2820,153,14932,5215,7541,-,-,2176,17738,2088,59167,9517,589,-,47,78,119,13,823,87,647,11,302,63,3,210,9,6516,12220,65,204,110,189,81,105,14,226,4,5797,37,436,762,346,3844,3483,48,6,22,268,19,260,2860,232,12859,5262,6988,-,-,609,17935,2921,61928,9001,556,-,41,72,81,13,677,86,541,4,268,51,4,175,4,6428,11197,50,191,110,119,65,101,10,191,3,5659,33,357,627,256,3425,3412,47,6,23,247,24,211,2854,228,15365,4925,7255,-,-,3185,18446,4279,55441,7293,582,-,32,67,27,6,520,73,314,3,200,7,-,117,1,5344,8687,63,179,105,83,64,73,5,119,3,4717,32,281,464,132,2367,2682,56,9,17,200,13,149,2238,210,15243,3800,5918,-,-,5525,16710,4616,48573,6715,540,-,38,58,91,8,450,97,239,6,251,28,1,114,-,4794,8288,67,205,94,89,77,60,12,113,2,4486,38,159,395,218,2273,2798,41,7,20,211,11,174,2334,239,10387,3736,4902,-,-,1749,14367,5779
"폭력범죄",상해,9281,1666,189,-,9,8,22,2,177,19,139,-,66,12,-,46,1,976,2022,11,29,15,37,13,21,-,31,1,786,5,132,127,78,736,546,8,-,2,49,-,28,459,22,2123,558,1198,-,-,367,2751,151,8483,1534,150,-,6,8,25,2,143,12,100,1,43,13,-,38,1,992,1849,10,23,18,23,15,17,5,32,1,744,1,95,149,67,649,514,10,-,4,51,1,32,416,41,1523,522,900,-,-,101,2747,275,8202,1434,124,-,5,6,15,1,104,15,106,2,30,6,-,48,-,972,1555,6,12,16,22,8,22,2,29,-,688,3,73,92,55,527,441,6,-,4,33,1,21,376,30,1749,478,845,-,-,426,2628,365,7404,1152,129,-,4,6,6,1,91,6,65,-,27,2,-,34,-,781,1184,10,18,22,12,9,9,-,25,2,541,3,58,96,23,356,400,10,-,4,35,1,15,335,24,1888,380,742,-,-,766,2350,406,5932,995,117,-,5,3,17,1,83,9,48,-,31,4,-,22,-,655,1074,9,23,9,17,20,6,2,14,-,495,3,45,57,31,343,349,4,-,3,31,2,21,288,19,1067,331,504,-,-,232,1935,493
"폭력범죄",폭행,35781,5665,235,-,36,26,74,14,532,58,465,9,189,24,-,132,3,3868,7751,34,131,60,122,47,70,4,161,-,3647,23,284,505,181,2482,2016,15,2,8,125,6,168,1692,92,8294,2377,4668,-,-,1249,10590,1373,35819,5831,243,-,28,32,63,9,502,61,430,6,161,36,3,137,7,4113,7770,41,141,69,131,51,71,7,145,1,3793,28,263,481,194,2354,2147,21,4,10,126,12,167,1807,128,7401,2475,4565,-,-,361,10703,1839,37763,5485,259,-,25,37,49,10,413,49,345,2,138,23,1,98,3,4033,7212,37,132,73,78,46,62,3,117,2,3743,25,231,413,127,2123,2148,20,4,12,134,9,149,1820,126,9051,2329,4771,-,-,1951,11050,2691,33022,4371,257,-,22,19,12,3,324,53,196,2,113,3,-,66,1,3300,5389,30,118,58,54,42,44,1,58,-,3029,15,187,253,75,1425,1605,26,3,5,100,3,94,1374,124,8915,1911,3792,-,-,3212,9724,2894,28624,3879,233,-,24,27,51,5,249,59,135,3,125,16,1,74,-,2877,5134,37,132,57,59,40,40,8,71,1,2847,20,84,248,133,1357,1705,24,1,11,109,4,106,1450,129,6028,1793,3254,-,-,981,8122,3627
"폭력범죄",체포·감금,338,58,3,-,-,-,1,-,1,3,4,-,4,-,-,-,-,42,59,-,-,-,1,-,-,-,-,-,29,-,5,1,-,23,24,4,1,-,3,-,-,16,2,93,35,42,-,-,16,78,24,281,55,-,-,-,-,2,-,2,-,8,-,1,3,-,-,-,39,51,-,1,-,2,-,1,-,-,-,21,-,-,2,3,21,30,1,-,-,4,-,1,24,5,54,22,30,-,-,2,74,12,304,48,3,-,-,1,-,-,3,2,2,-,3,-,-,-,-,34,47,1,-,-,-,1,1,-,1,-,12,-,2,1,7,21,19,-,-,-,4,-,-,15,2,90,25,38,-,-,27,65,33,279,42,3,-,-,3,-,-,2,-,7,-,1,-,-,-,-,26,52,8,3,-,-,1,-,-,2,-,21,-,2,4,-,11,11,-,-,-,4,-,1,6,2,76,15,26,-,-,35,70,26,283,30,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,28,49,1,1,-,-,2,1,-,-,-,22,-,1,1,-,20,34,4,2,-,3,-,2,23,7,70,28,29,-,-,13,70,23
"폭력범죄",협박,1809,269,20,-,2,6,6,-,20,1,10,1,14,-,-,3,-,186,347,4,8,1,9,1,5,-,10,-,168,2,5,25,7,102,123,3,4,2,17,-,6,91,7,433,98,251,-,-,84,560,70,2225,335,23,-,2,-,3,2,24,-,18,-,12,3,-,6,-,242,382,3,7,2,9,3,5,1,7,-,187,1,4,25,8,120,139,5,1,4,11,2,6,110,20,530,171,326,-,-,33,650,169,2834,372,17,-,2,4,4,-,25,4,11,-,17,2,1,7,-,278,457,2,9,7,4,1,6,-,6,1,234,1,9,30,14,133,161,8,-,3,21,5,9,115,31,720,191,394,-,-,135,834,259,2867,347,23,-,3,5,2,-,24,4,13,-,13,-,-,1,-,259,403,3,11,4,4,3,9,-,6,-,228,5,7,21,5,97,175,4,3,3,9,2,9,145,23,728,150,338,-,-,240,892,299,2975,384,27,-,4,2,9,1,23,5,9,-,19,3,-,1,-,281,461,7,11,7,4,3,4,1,9,-,265,4,6,23,9,108,155,2,1,3,11,2,16,120,24,614,174,321,-,-,119,938,399
"폭력범죄",약취·유인,83,9,1,-,-,-,1,-,-,-,1,-,1,-,-,-,-,5,15,-,-,-,-,-,-,-,-,-,10,-,-,1,1,3,5,-,-,-,-,-,-,5,1,14,1,10,-,-,3,36,3,86,10,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,8,14,-,-,-,1,-,-,-,-,-,11,-,-,-,-,2,7,-,-,-,3,-,-,4,2,20,5,13,-,-,2,26,7,119,7,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,6,18,-,-,-,-,-,-,-,-,-,14,-,-,1,-,3,19,4,-,2,2,-,-,11,1,17,5,9,-,-,3,36,21,89,9,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,7,6,-,-,-,-,-,-,-,-,-,5,-,1,-,-,-,6,1,-,-,-,-,-,5,1,29,7,10,-,-,12,23,15,92,10,-,-,-,-,-,-,1,-,2,-,2,-,-,-,-,5,20,1,-,-,-,-,-,-,-,-,10,-,-,1,-,8,4,1,-,-,1,-,-,2,1,22,2,12,-,-,8,23,12
"폭력범죄",폭력행위등,7622,821,54,-,2,11,17,2,71,9,51,2,27,11,-,18,-,546,1447,9,13,14,27,11,2,4,26,-,742,3,33,57,36,470,390,4,-,4,40,1,19,322,13,2889,1940,703,-,-,246,1888,174,6713,816,46,-,4,9,13,-,76,9,59,2,34,3,-,17,1,543,1222,4,19,13,12,6,5,1,27,2,605,3,50,49,43,383,341,8,-,1,33,2,30,267,16,2463,1838,565,-,-,60,1639,216,6422,691,40,-,2,5,6,2,62,12,34,-,32,18,-,9,-,469,1010,-,16,8,7,6,3,5,17,-,533,1,24,36,23,331,318,4,2,-,26,6,14,266,12,2490,1652,534,-,-,304,1580,321,5360,529,46,-,1,6,1,1,37,3,21,-,13,1,-,7,-,392,822,3,11,15,6,5,1,3,15,1,444,3,14,35,12,254,216,4,1,2,19,3,14,173,10,2118,1105,404,-,-,609,1382,283,4478,536,47,-,1,6,4,1,46,9,22,1,23,2,-,7,-,367,661,6,19,9,3,5,4,1,7,-,350,3,12,19,18,205,246,4,1,1,19,2,8,211,22,1612,1145,306,-,-,161,1064,337
"폭력범죄",공갈,479,75,1,-,-,2,-,-,9,1,5,-,2,-,-,4,-,51,84,-,1,-,2,-,2,-,4,-,34,-,9,4,4,24,25,-,-,-,5,2,1,17,2,121,63,29,-,-,29,130,42,524,73,2,-,2,3,1,-,6,1,8,1,8,1,-,-,-,40,65,1,-,-,-,-,-,-,-,-,28,-,2,3,2,29,29,1,-,-,7,2,3,16,1,126,75,45,-,-,6,178,52,534,73,2,-,-,-,2,-,4,-,8,-,3,-,-,-,-,54,64,-,1,-,1,-,-,-,4,-,33,-,1,4,1,19,32,-,-,1,3,1,2,25,3,144,82,29,-,-,33,158,60,587,71,3,-,1,2,-,-,6,-,1,-,4,-,-,-,-,54,71,-,3,1,2,-,1,-,2,-,40,3,2,5,2,10,33,-,2,-,2,3,-,26,1,151,68,30,-,-,53,162,98,462,51,2,-,-,-,-,-,2,-,3,1,3,-,-,-,-,40,57,1,2,-,-,-,-,-,2,-,34,2,1,2,-,13,39,1,-,1,7,1,4,25,6,108,68,21,-,-,19,133,68
